ZFIN:ZDB-GENE-070410-44	NCBI_gene:11162
ZFIN:ZDB-GENE-050410-12	NCBI_gene:259232
ZFIN:ZDB-GENE-060503-324	NCBI_gene:8911
ZFIN:ZDB-GENE-090514-2	NCBI_gene:8913
ZFIN:ZDB-GENE-090312-128	NCBI_gene:8912
ZFIN:ZDB-GENE-061103-202	NCBI_gene:219931
ZFIN:ZDB-GENE-060526-199	NCBI_gene:53373
ZFIN:ZDB-GENE-081104-526	NCBI_gene:777
ZFIN:ZDB-GENE-060531-44	NCBI_gene:774
ZFIN:ZDB-GENE-040724-26	NCBI_gene:100507353
ZFIN:ZDB-GENE-090514-1	NCBI_gene:779
ZFIN:ZDB-GENE-030616-135	NCBI_gene:776
ZFIN:ZDB-GENE-031104-1	NCBI_gene:778
ZFIN:ZDB-GENE-020129-1	NCBI_gene:775
ZFIN:ZDB-GENE-000622-1	NCBI_gene:2627
ZFIN:ZDB-GENE-030131-8404	NCBI_gene:7227
ZFIN:ZDB-GENE-980526-476	NCBI_gene:2626
ZFIN:ZDB-GENE-990415-82	NCBI_gene:2625
ZFIN:ZDB-GENE-980526-260	NCBI_gene:2624
ZFIN:ZDB-GENE-060825-359	NCBI_gene:100125288
ZFIN:ZDB-GENE-030131-2702	NCBI_gene:7249
ZFIN:ZDB-GENE-080806-1	NCBI_gene:253959
ZFIN:ZDB-GENE-070705-158	NCBI_gene:133418
ZFIN:ZDB-GENE-040426-1548	NCBI_gene:128434
ZFIN:ZDB-GENE-030131-9638	NCBI_gene:682
ZFIN:ZDB-GENE-040426-1821	NCBI_gene:27020
ZFIN:ZDB-GENE-030131-5373	NCBI_gene:55092
ZFIN:ZDB-GENE-081022-51	NCBI_gene:9797
ZFIN:ZDB-GENE-081104-391	NCBI_gene:57125
ZFIN:ZDB-GENE-081022-103	NCBI_gene:50486
ZFIN:ZDB-GENE-040724-96	NCBI_gene:102724399
ZFIN:ZDB-GENE-041010-62	NCBI_gene:112869
ZFIN:ZDB-GENE-040426-2777	NCBI_gene:51527
ZFIN:ZDB-GENE-100917-1	NCBI_gene:353497
ZFIN:ZDB-GENE-040426-1384	NCBI_gene:92344
ZFIN:ZDB-GENE-030408-4	NCBI_gene:3895
ZFIN:ZDB-GENE-030131-5074	NCBI_gene:25776
ZFIN:ZDB-GENE-030131-1187	NCBI_gene:6999
ZFIN:ZDB-GENE-120215-232	NCBI_gene:126353
ZFIN:ZDB-GENE-041014-375	NCBI_gene:79674
ZFIN:ZDB-GENE-050522-545	NCBI_gene:285381
ZFIN:ZDB-GENE-050306-22	NCBI_gene:130827
ZFIN:ZDB-GENE-040625-180	NCBI_gene:1329
ZFIN:ZDB-GENE-040724-114	NCBI_gene:7225
ZFIN:ZDB-GENE-091113-40	NCBI_gene:57113
ZFIN:ZDB-GENE-040812-1	NCBI_gene:7224
ZFIN:ZDB-GENE-070830-1	NCBI_gene:7220
ZFIN:ZDB-GENE-980526-515	NCBI_gene:9935
ZFIN:ZDB-GENE-010605-3	NCBI_gene:389692
ZFIN:ZDB-GENE-040624-7	NCBI_gene:4097
ZFIN:ZDB-GENE-040426-2403	NCBI_gene:4097
ZFIN:ZDB-GENE-040426-1280	NCBI_gene:23764
ZFIN:ZDB-GENE-040624-9	NCBI_gene:7975
ZFIN:ZDB-GENE-070112-1352	NCBI_gene:91300
ZFIN:ZDB-GENE-040715-8	NCBI_gene:23165
ZFIN:ZDB-GENE-030131-1968	NCBI_gene:10024
ZFIN:ZDB-GENE-081031-9	NCBI_gene:636
ZFIN:ZDB-GENE-060503-723	NCBI_gene:55036
ZFIN:ZDB-GENE-030131-5453	NCBI_gene:79935
ZFIN:ZDB-GENE-030429-12	NCBI_gene:9133
ZFIN:ZDB-GENE-000406-10	NCBI_gene:891
ZFIN:ZDB-GENE-060929-684	NCBI_gene:85417
ZFIN:ZDB-GENE-980526-176	NCBI_gene:595
ZFIN:ZDB-GENE-070424-30	NCBI_gene:894
ZFIN:ZDB-GENE-021030-2	NCBI_gene:899
ZFIN:ZDB-GENE-020322-1	NCBI_gene:900
ZFIN:ZDB-GENE-081106-2	NCBI_gene:645121
ZFIN:ZDB-GENE-021016-1	NCBI_gene:901
ZFIN:ZDB-GENE-040426-2898	NCBI_gene:10983
ZFIN:ZDB-GENE-030131-9689	NCBI_gene:9134
ZFIN:ZDB-GENE-980526-168	NCBI_gene:898
ZFIN:ZDB-GENE-040311-2	NCBI_gene:8900
ZFIN:ZDB-GENE-020418-1	NCBI_gene:890
ZFIN:ZDB-GENE-040801-129	NCBI_gene:84276
ZFIN:ZDB-GENE-041008-136	NCBI_gene:7155
ZFIN:ZDB-GENE-030131-2453	NCBI_gene:7153
ZFIN:ZDB-GENE-060526-130	NCBI_gene:4054
ZFIN:ZDB-GENE-080515-6	NCBI_gene:25764
ZFIN:ZDB-GENE-030616-151	NCBI_gene:55320
ZFIN:ZDB-GENE-030131-7356	NCBI_gene:51092
ZFIN:ZDB-GENE-040426-1205	NCBI_gene:7507
ZFIN:ZDB-GENE-030131-1069	NCBI_gene:28970
ZFIN:ZDB-GENE-070705-232	NCBI_gene:965
ZFIN:ZDB-GENE-070705-230	NCBI_gene:965
ZFIN:ZDB-GENE-050208-333	NCBI_gene:965
ZFIN:ZDB-GENE-060503-903	NCBI_gene:965
ZFIN:ZDB-GENE-050417-453	NCBI_gene:965
ZFIN:ZDB-GENE-080204-9	NCBI_gene:965
ZFIN:ZDB-GENE-091204-428	NCBI_gene:965
ZFIN:ZDB-GENE-070705-5	NCBI_gene:965
ZFIN:ZDB-GENE-070705-231	NCBI_gene:965
ZFIN:ZDB-GENE-070705-235	NCBI_gene:965
ZFIN:ZDB-GENE-110914-107	NCBI_gene:965
ZFIN:ZDB-GENE-060503-128	NCBI_gene:965
ZFIN:ZDB-GENE-070705-225	NCBI_gene:965
ZFIN:ZDB-GENE-030131-3779	NCBI_gene:965
ZFIN:ZDB-GENE-050208-448	NCBI_gene:965
ZFIN:ZDB-GENE-060503-222	NCBI_gene:965
ZFIN:ZDB-GENE-080220-56	NCBI_gene:965
ZFIN:ZDB-GENE-050208-567	NCBI_gene:965
ZFIN:ZDB-GENE-080220-33	NCBI_gene:965
ZFIN:ZDB-GENE-050208-329	NCBI_gene:965
ZFIN:ZDB-GENE-050208-727	NCBI_gene:965
ZFIN:ZDB-GENE-060503-619	NCBI_gene:965
ZFIN:ZDB-GENE-110411-199	NCBI_gene:965
ZFIN:ZDB-GENE-050208-493	NCBI_gene:965
ZFIN:ZDB-GENE-070705-222	NCBI_gene:965
ZFIN:ZDB-GENE-110411-33	NCBI_gene:965
ZFIN:ZDB-GENE-081104-289	NCBI_gene:965
ZFIN:ZDB-GENE-091204-409	NCBI_gene:965
ZFIN:ZDB-GENE-110411-2	NCBI_gene:965
ZFIN:ZDB-GENE-050208-407	NCBI_gene:965
ZFIN:ZDB-GENE-050208-733	NCBI_gene:965
ZFIN:ZDB-GENE-050208-330	NCBI_gene:965
ZFIN:ZDB-GENE-050208-328	NCBI_gene:965
ZFIN:ZDB-GENE-070705-224	NCBI_gene:965
ZFIN:ZDB-GENE-050208-730	NCBI_gene:965
ZFIN:ZDB-GENE-070705-226	NCBI_gene:965
ZFIN:ZDB-GENE-050208-566	NCBI_gene:965
ZFIN:ZDB-GENE-030131-8955	NCBI_gene:965
ZFIN:ZDB-GENE-050208-646	NCBI_gene:965
ZFIN:ZDB-GENE-070705-223	NCBI_gene:965
ZFIN:ZDB-GENE-080220-39	NCBI_gene:965
ZFIN:ZDB-GENE-070912-357	NCBI_gene:965
ZFIN:ZDB-GENE-000330-7	NCBI_gene:10904
ZFIN:ZDB-GENE-050706-119	NCBI_gene:348487
ZFIN:ZDB-GENE-070719-4	NCBI_gene:131408
ZFIN:ZDB-GENE-060503-616	NCBI_gene:9715
ZFIN:ZDB-GENE-100922-12	NCBI_gene:9715
ZFIN:ZDB-GENE-050913-112	NCBI_gene:119032
ZFIN:ZDB-GENE-041210-319	NCBI_gene:90427
ZFIN:ZDB-GENE-030327-6	NCBI_gene:51714
ZFIN:ZDB-GENE-030131-7176	NCBI_gene:55706
ZFIN:ZDB-GENE-040426-1931	NCBI_gene:102723386
ZFIN:ZDB-GENE-070912-412	NCBI_gene:55201
ZFIN:ZDB-GENE-010110-1	NCBI_gene:7923
ZFIN:ZDB-GENE-010110-1	NCBI_gene:7923
ZFIN:ZDB-GENE-010110-1	NCBI_gene:7923
ZFIN:ZDB-GENE-010110-1	NCBI_gene:7923
ZFIN:ZDB-GENE-010110-1	NCBI_gene:7923
ZFIN:ZDB-GENE-010110-1	NCBI_gene:7923
ZFIN:ZDB-GENE-070112-2242	NCBI_gene:157506
ZFIN:ZDB-GENE-041010-172	NCBI_gene:9249
ZFIN:ZDB-GENE-030131-1249	NCBI_gene:10170
ZFIN:ZDB-GENE-050208-411	NCBI_gene:102723524
ZFIN:ZDB-GENE-040928-1	NCBI_gene:3294
ZFIN:ZDB-GENE-030131-6030	NCBI_gene:3291
ZFIN:ZDB-GENE-040901-5	NCBI_gene:3292
ZFIN:ZDB-GENE-060929-1134	NCBI_gene:79758
ZFIN:ZDB-GENE-040426-858	NCBI_gene:51741
ZFIN:ZDB-GENE-040718-9	NCBI_gene:51109
ZFIN:ZDB-GENE-061013-378	NCBI_gene:51478
ZFIN:ZDB-GENE-040801-24	NCBI_gene:51171
ZFIN:ZDB-GENE-041010-201	NCBI_gene:3028
ZFIN:ZDB-GENE-041212-31	NCBI_gene:83693
ZFIN:ZDB-GENE-040426-1339	NCBI_gene:3293
ZFIN:ZDB-GENE-030131-5628	NCBI_gene:51144
ZFIN:ZDB-GENE-040421-1	NCBI_gene:3295
ZFIN:ZDB-GENE-060825-212	NCBI_gene:102724277
ZFIN:ZDB-GENE-050522-55	NCBI_gene:26099
ZFIN:ZDB-GENE-040426-1875	NCBI_gene:58529
ZFIN:ZDB-GENE-040426-1880	NCBI_gene:51778
ZFIN:ZDB-GENE-990415-198	NCBI_gene:6997
ZFIN:ZDB-GENE-040429-2	NCBI_gene:51162
ZFIN:ZDB-GENE-040426-1171	NCBI_gene:64748
ZFIN:ZDB-GENE-070912-555	NCBI_gene:79948
ZFIN:ZDB-GENE-070705-280	NCBI_gene:9890
ZFIN:ZDB-GENE-060526-241	NCBI_gene:8613
ZFIN:ZDB-GENE-081107-53	NCBI_gene:196051
ZFIN:ZDB-GENE-040704-54	NCBI_gene:84513
ZFIN:ZDB-GENE-060503-204	NCBI_gene:131096
ZFIN:ZDB-GENE-061106-2	NCBI_gene:27133
ZFIN:ZDB-GENE-061226-1	NCBI_gene:3756
ZFIN:ZDB-GENE-030131-8228	NCBI_gene:610
ZFIN:ZDB-GENE-050420-360	NCBI_gene:10021
ZFIN:ZDB-GENE-090611-1	NCBI_gene:54714
ZFIN:ZDB-GENE-050419-164	NCBI_gene:1258
ZFIN:ZDB-GENE-090312-66	NCBI_gene:1259
ZFIN:ZDB-GENE-070912-292	NCBI_gene:1262
ZFIN:ZDB-GENE-061005-1	NCBI_gene:1260
ZFIN:ZDB-GENE-090611-2	NCBI_gene:1261
ZFIN:ZDB-GENE-120214-39	NCBI_gene:90134
ZFIN:ZDB-GENE-070912-699	NCBI_gene:3757
ZFIN:ZDB-GENE-060810-113	NCBI_gene:8675
ZFIN:ZDB-GENE-040718-18	NCBI_gene:6811
ZFIN:ZDB-GENE-041114-164	NCBI_gene:55014
ZFIN:ZDB-GENE-041014-35	NCBI_gene:8417
ZFIN:ZDB-GENE-040625-11	NCBI_gene:23673
ZFIN:ZDB-GENE-091204-424	NCBI_gene:2054
ZFIN:ZDB-GENE-040426-1893	NCBI_gene:8676
ZFIN:ZDB-GENE-040426-1489	NCBI_gene:6809
ZFIN:ZDB-GENE-000330-4	NCBI_gene:112755
ZFIN:ZDB-GENE-030131-2455	NCBI_gene:6810
ZFIN:ZDB-GENE-061201-60	NCBI_gene:254228
ZFIN:ZDB-GENE-090312-195	NCBI_gene:255022
ZFIN:ZDB-GENE-081107-70	NCBI_gene:119395
ZFIN:ZDB-GENE-030616-561	NCBI_gene:51063
ZFIN:ZDB-GENE-050913-144	NCBI_gene:23381
ZFIN:ZDB-GENE-030131-9122	NCBI_gene:9887
ZFIN:ZDB-GENE-040426-2864	NCBI_gene:54
ZFIN:ZDB-GENE-041114-159	NCBI_gene:254295
ZFIN:ZDB-GENE-050417-184	NCBI_gene:55178
ZFIN:ZDB-GENE-090313-346	NCBI_gene:6894
ZFIN:ZDB-GENE-090313-347	NCBI_gene:6894
ZFIN:ZDB-GENE-070705-298	NCBI_gene:51555
ZFIN:ZDB-GENE-040426-981	NCBI_gene:5830
ZFIN:ZDB-GENE-040718-115	NCBI_gene:64949
ZFIN:ZDB-GENE-030131-3294	NCBI_gene:55239
ZFIN:ZDB-GENE-040426-1882	NCBI_gene:10912
ZFIN:ZDB-GENE-040426-1971	NCBI_gene:4616
ZFIN:ZDB-GENE-040426-1501	NCBI_gene:1647
ZFIN:ZDB-GENE-030131-3167	NCBI_gene:25974
ZFIN:ZDB-GENE-060503-19	NCBI_gene:51335
ZFIN:ZDB-GENE-040426-711	NCBI_gene:9631
ZFIN:ZDB-GENE-110411-203	NCBI_gene:133308
ZFIN:ZDB-GENE-060427-1	NCBI_gene:9136
ZFIN:ZDB-GENE-040309-1	NCBI_gene:5296
ZFIN:ZDB-GENE-030131-1280	NCBI_gene:5295
ZFIN:ZDB-GENE-040426-743	NCBI_gene:8503
ZFIN:ZDB-GENE-030131-6911	NCBI_gene:57658
ZFIN:ZDB-GENE-030131-2872	NCBI_gene:8887
ZFIN:ZDB-GENE-041114-49	NCBI_gene:55222
ZFIN:ZDB-GENE-041210-117	NCBI_gene:56890
ZFIN:ZDB-GENE-060810-176	NCBI_gene:118487
ZFIN:ZDB-GENE-040426-752	NCBI_gene:4751
ZFIN:ZDB-GENE-040801-136	NCBI_gene:140609
ZFIN:ZDB-GENE-040724-133	NCBI_gene:10783
ZFIN:ZDB-GENE-020509-1	NCBI_gene:284086
ZFIN:ZDB-GENE-100922-73	NCBI_gene:79858
ZFIN:ZDB-GENE-050417-214	NCBI_gene:10551
ZFIN:ZDB-GENE-030131-7249	NCBI_gene:155465
ZFIN:ZDB-GENE-050522-497	NCBI_gene:51060
ZFIN:ZDB-GENE-070209-59	NCBI_gene:9026
ZFIN:ZDB-GENE-010328-15	NCBI_gene:3092
ZFIN:ZDB-GENE-040426-1846	NCBI_gene:6342
ZFIN:ZDB-GENE-050522-182	NCBI_gene:11102
ZFIN:ZDB-GENE-031222-3	NCBI_gene:6561
ZFIN:ZDB-GENE-040426-2486	NCBI_gene:64849
ZFIN:ZDB-GENE-040426-2389	NCBI_gene:9058
ZFIN:ZDB-GENE-070424-71	NCBI_gene:26266
ZFIN:ZDB-GENE-030131-4628	NCBI_gene:102723404
ZFIN:ZDB-GENE-070718-4	NCBI_gene:4948
ZFIN:ZDB-GENE-040822-45	NCBI_gene:112487
ZFIN:ZDB-GENE-040801-175	NCBI_gene:92675
ZFIN:ZDB-GENE-070720-11	NCBI_gene:64499
ZFIN:ZDB-GENE-080819-2	NCBI_gene:134288
ZFIN:ZDB-GENE-050420-101	NCBI_gene:55055
ZFIN:ZDB-GENE-000128-13	NCBI_gene:440097
ZFIN:ZDB-GENE-000128-8	NCBI_gene:120237
ZFIN:ZDB-GENE-030131-5304	NCBI_gene:3142
ZFIN:ZDB-GENE-041024-8	NCBI_gene:10438
ZFIN:ZDB-GENE-090406-3	NCBI_gene:64418
ZFIN:ZDB-GENE-120215-73	NCBI_gene:9480
ZFIN:ZDB-GENE-040426-1469	NCBI_gene:3175
ZFIN:ZDB-GENE-040426-1273	NCBI_gene:81888
ZFIN:ZDB-GENE-061013-662	NCBI_gene:54751
ZFIN:ZDB-GENE-040426-918	NCBI_gene:4026
ZFIN:ZDB-GENE-030827-5	NCBI_gene:51203
ZFIN:ZDB-GENE-030131-9686	NCBI_gene:7884
ZFIN:ZDB-GENE-120215-136	NCBI_gene:56951
ZFIN:ZDB-GENE-090918-5	NCBI_gene:57584
ZFIN:ZDB-GENE-091204-282	NCBI_gene:90480
ZFIN:ZDB-GENE-090112-3	NCBI_gene:84467
ZFIN:ZDB-GENE-110411-191	NCBI_gene:4477
ZFIN:ZDB-GENE-081104-94	NCBI_gene:692094
ZFIN:ZDB-GENE-040325-2	NCBI_gene:51538
ZFIN:ZDB-GENE-040426-1669	NCBI_gene:54994
ZFIN:ZDB-GENE-070705-86	NCBI_gene:57610
ZFIN:ZDB-GENE-021030-5	NCBI_gene:10048
ZFIN:ZDB-GENE-070928-22	NCBI_gene:84926
ZFIN:ZDB-GENE-040426-1972	NCBI_gene:56984
ZFIN:ZDB-GENE-040426-2137	NCBI_gene:79016
ZFIN:ZDB-GENE-050417-179	NCBI_gene:79622
ZFIN:ZDB-GENE-050208-746	NCBI_gene:60680
ZFIN:ZDB-GENE-000501-2	NCBI_gene:11189
ZFIN:ZDB-GENE-120215-101	NCBI_gene:60677
ZFIN:ZDB-GENE-040718-300	NCBI_gene:56853
ZFIN:ZDB-GENE-030826-35	NCBI_gene:10659
ZFIN:ZDB-GENE-000501-1	NCBI_gene:10658
ZFIN:ZDB-GENE-081104-149	NCBI_gene:203054
ZFIN:ZDB-GENE-080401-5	NCBI_gene:57143
ZFIN:ZDB-GENE-060503-803	NCBI_gene:79934
ZFIN:ZDB-GENE-040718-487	NCBI_gene:56997
ZFIN:ZDB-GENE-061215-33	NCBI_gene:23587
ZFIN:ZDB-GENE-030131-2168	NCBI_gene:344
ZFIN:ZDB-GENE-040426-1126	NCBI_gene:83638
ZFIN:ZDB-GENE-030131-82	NCBI_gene:10114
ZFIN:ZDB-GENE-031125-4	NCBI_gene:28996
ZFIN:ZDB-GENE-060503-499	NCBI_gene:9149
ZFIN:ZDB-GENE-030131-5677	NCBI_gene:1859
ZFIN:ZDB-GENE-050302-29	NCBI_gene:1859
ZFIN:ZDB-GENE-080219-31	NCBI_gene:8444
ZFIN:ZDB-GENE-030131-2804	NCBI_gene:8445
ZFIN:ZDB-GENE-091015-3	NCBI_gene:8798
ZFIN:ZDB-GENE-050227-19	NCBI_gene:1195
ZFIN:ZDB-GENE-030131-298	NCBI_gene:1196
ZFIN:ZDB-GENE-040426-1507	NCBI_gene:57614
ZFIN:ZDB-GENE-030131-6778	NCBI_gene:23168
ZFIN:ZDB-GENE-040426-1782	NCBI_gene:54344
ZFIN:ZDB-GENE-060503-604	NCBI_gene:6324
ZFIN:ZDB-GENE-070920-2	NCBI_gene:55800
ZFIN:ZDB-GENE-070928-19	NCBI_gene:55577
ZFIN:ZDB-GENE-030131-1500	NCBI_gene:54187
ZFIN:ZDB-GENE-070912-242	NCBI_gene:126868
ZFIN:ZDB-GENE-020516-1	NCBI_gene:4081
ZFIN:ZDB-GENE-011101-3	NCBI_gene:10586
ZFIN:ZDB-GENE-050417-422	NCBI_gene:85450
ZFIN:ZDB-GENE-090313-23	NCBI_gene:115004
ZFIN:ZDB-GENE-090313-66	NCBI_gene:84334
ZFIN:ZDB-GENE-050419-61	NCBI_gene:55812
ZFIN:ZDB-GENE-030131-6333	NCBI_gene:84811
ZFIN:ZDB-GENE-080204-65	NCBI_gene:29063
ZFIN:ZDB-GENE-120203-6	NCBI_gene:662
ZFIN:ZDB-GENE-060929-756	NCBI_gene:130733
ZFIN:ZDB-GENE-050320-41	NCBI_gene:79807
ZFIN:ZDB-GENE-060503-889	NCBI_gene:84062
ZFIN:ZDB-GENE-040426-1036	NCBI_gene:84062
ZFIN:ZDB-GENE-040401-2	NCBI_gene:3156
ZFIN:ZDB-GENE-040426-907	NCBI_gene:25972
ZFIN:ZDB-GENE-050519-1	NCBI_gene:1464
ZFIN:ZDB-GENE-041010-100	NCBI_gene:131870
ZFIN:ZDB-GENE-060503-674	NCBI_gene:10899
ZFIN:ZDB-GENE-030131-6247	NCBI_gene:23595
ZFIN:ZDB-GENE-040426-1676	NCBI_gene:90390
ZFIN:ZDB-GENE-990415-54	NCBI_gene:2018
ZFIN:ZDB-GENE-031007-7	NCBI_gene:2016
ZFIN:ZDB-GENE-030904-9	NCBI_gene:11023
ZFIN:ZDB-GENE-041010-171	NCBI_gene:102724088
ZFIN:ZDB-GENE-030131-3502	NCBI_gene:81567
ZFIN:ZDB-GENE-030131-3502	NCBI_gene:63915
ZFIN:ZDB-GENE-030429-30	NCBI_gene:51053
ZFIN:ZDB-GENE-050522-480	NCBI_gene:221443
ZFIN:ZDB-GENE-070911-1	NCBI_gene:366
ZFIN:ZDB-GENE-040724-66	NCBI_gene:360
ZFIN:ZDB-GENE-030131-6461	NCBI_gene:102724507
ZFIN:ZDB-GENE-070112-1802	NCBI_gene:343
ZFIN:ZDB-GENE-050706-86	NCBI_gene:4284
ZFIN:ZDB-GENE-030131-7764	NCBI_gene:358
ZFIN:ZDB-GENE-040724-152	NCBI_gene:361
ZFIN:ZDB-GENE-040914-27	NCBI_gene:57226
ZFIN:ZDB-GENE-040426-1419	NCBI_gene:56902
ZFIN:ZDB-GENE-050913-131	NCBI_gene:6727
ZFIN:ZDB-GENE-060929-990	NCBI_gene:6572
ZFIN:ZDB-GENE-080514-1	NCBI_gene:6571
ZFIN:ZDB-GENE-050417-386	NCBI_gene:116843
ZFIN:ZDB-GENE-040801-137	NCBI_gene:10200
ZFIN:ZDB-GENE-040426-2186	NCBI_gene:7341
ZFIN:ZDB-GENE-040718-426	NCBI_gene:6612
ZFIN:ZDB-GENE-030131-9520	NCBI_gene:84901
ZFIN:ZDB-GENE-040801-7	NCBI_gene:101929087
ZFIN:ZDB-GENE-030131-3955	NCBI_gene:142
ZFIN:ZDB-GENE-030131-7435	NCBI_gene:10039
ZFIN:ZDB-GENE-031113-6	NCBI_gene:10038
ZFIN:ZDB-GENE-030131-5576	NCBI_gene:6872
ZFIN:ZDB-GENE-040912-137	NCBI_gene:80347
ZFIN:ZDB-GENE-060825-226	NCBI_gene:79877
ZFIN:ZDB-GENE-041010-20	NCBI_gene:5638
ZFIN:ZDB-GENE-050417-112	NCBI_gene:79056
ZFIN:ZDB-GENE-091204-100	NCBI_gene:79057
ZFIN:ZDB-GENE-061207-75	NCBI_gene:341277
ZFIN:ZDB-GENE-030616-571	NCBI_gene:26053
ZFIN:ZDB-GENE-070705-487	NCBI_gene:57666
ZFIN:ZDB-GENE-061103-451	NCBI_gene:55728
ZFIN:ZDB-GENE-040724-164	NCBI_gene:1312
ZFIN:ZDB-GENE-030131-1072	NCBI_gene:118881
ZFIN:ZDB-GENE-040801-94	NCBI_gene:10464
ZFIN:ZDB-GENE-020419-14	NCBI_gene:6632
ZFIN:ZDB-GENE-040426-1652	NCBI_gene:25804
ZFIN:ZDB-GENE-030131-5219	NCBI_gene:6634
ZFIN:ZDB-GENE-120215-149	NCBI_gene:127665
ZFIN:ZDB-GENE-080225-38	NCBI_gene:27340
ZFIN:ZDB-GENE-110411-262	NCBI_gene:10560
ZFIN:ZDB-GENE-050419-166	NCBI_gene:80704
ZFIN:ZDB-GENE-040426-2657	NCBI_gene:6728
ZFIN:ZDB-GENE-010413-1	NCBI_gene:6746
ZFIN:ZDB-GENE-041010-119	NCBI_gene:8048
ZFIN:ZDB-GENE-030909-4	NCBI_gene:1465
ZFIN:ZDB-GENE-040426-1863	NCBI_gene:1466
ZFIN:ZDB-GENE-030131-4106	NCBI_gene:10630
ZFIN:ZDB-GENE-030131-1117	NCBI_gene:102466730
ZFIN:ZDB-GENE-050410-15	NCBI_gene:163590
ZFIN:ZDB-GENE-081105-150	NCBI_gene:163590
ZFIN:ZDB-GENE-120807-1	NCBI_gene:84283
ZFIN:ZDB-GENE-041010-209	NCBI_gene:64083
ZFIN:ZDB-GENE-030131-2035	NCBI_gene:101928422
ZFIN:ZDB-GENE-041008-161	NCBI_gene:100507424
ZFIN:ZDB-GENE-041001-173	NCBI_gene:51696
ZFIN:ZDB-GENE-060503-309	NCBI_gene:57583
ZFIN:ZDB-GENE-050208-278	NCBI_gene:25953
ZFIN:ZDB-GENE-030131-8921	NCBI_gene:3029
ZFIN:ZDB-GENE-081104-313	NCBI_gene:153364
ZFIN:ZDB-GENE-040426-2503	NCBI_gene:23474
ZFIN:ZDB-GENE-040426-2374	NCBI_gene:51319
ZFIN:ZDB-GENE-040329-1	NCBI_gene:15
ZFIN:ZDB-GENE-091204-294	NCBI_gene:221749
ZFIN:ZDB-GENE-030131-1495	NCBI_gene:8233
ZFIN:ZDB-GENE-020419-1	NCBI_gene:102724594
ZFIN:ZDB-GENE-061207-11	NCBI_gene:152206
ZFIN:ZDB-GENE-031118-80	NCBI_gene:55734
ZFIN:ZDB-GENE-040426-1319	NCBI_gene:285971
ZFIN:ZDB-GENE-030131-5154	NCBI_gene:9524
ZFIN:ZDB-GENE-060929-938	NCBI_gene:6715
ZFIN:ZDB-GENE-060616-210	NCBI_gene:101928189
ZFIN:ZDB-GENE-040426-1798	NCBI_gene:6432
ZFIN:ZDB-GENE-040426-2397	NCBI_gene:283459
ZFIN:ZDB-GENE-071005-2	NCBI_gene:6428
ZFIN:ZDB-GENE-040718-354	NCBI_gene:6430
ZFIN:ZDB-GENE-041219-1	NCBI_gene:6431
ZFIN:ZDB-GENE-030131-591	NCBI_gene:6429
