Mouse gene 	Human gene
MGI:102548	NCBI_gene:7249
MGI:3036245	NCBI_gene:57186
MGI:1931050	NCBI_gene:253959
MGI:3646229	NCBI_gene:643812
MGI:1916783	NCBI_gene:388818
MGI:99447	NCBI_gene:337880
MGI:3645197	NCBI_gene:140258
MGI:95321	NCBI_gene:133418
MGI:2685537	NCBI_gene:128434
MGI:88208	NCBI_gene:682
MGI:108077	NCBI_gene:27020
MGI:2384874	NCBI_gene:55092
MGI:1916222	NCBI_gene:128387
MGI:3576210	NCBI_gene:9797
MGI:1916944	NCBI_gene:83940
MGI:1919574	NCBI_gene:57125
MGI:1914698	NCBI_gene:84898
MGI:1316737	NCBI_gene:50486
MGI:2443235	NCBI_gene:102724399
MGI:2450877	NCBI_gene:9256
MGI:1922815	NCBI_gene:112869
MGI:1914037	NCBI_gene:51527
MGI:2675617	NCBI_gene:353497
MGI:2138271	NCBI_gene:92344
MGI:109153	NCBI_gene:3895
MGI:1915179	NCBI_gene:83446
MGI:1915176	NCBI_gene:220082
MGI:1923903	NCBI_gene:646019
MGI:1920989	NCBI_gene:25776
MGI:1928486	NCBI_gene:6999
MGI:1917384	NCBI_gene:102466515
MGI:1926156	NCBI_gene:126353
MGI:1920039	NCBI_gene:79674
MGI:104537	NCBI_gene:672
MGI:1922658	NCBI_gene:285381
MGI:1923725	NCBI_gene:130827
MGI:3649411	NCBI_gene:1329
MGI:88475	NCBI_gene:1329
MGI:109523	NCBI_gene:7225
MGI:109526	NCBI_gene:7222
MGI:1349470	NCBI_gene:57113
MGI:109524	NCBI_gene:7224
MGI:109528	NCBI_gene:7220
MGI:109525	NCBI_gene:7223
MGI:1923239	NCBI_gene:285852
MGI:2147038	NCBI_gene:79865
MGI:104555	NCBI_gene:9935
MGI:96909	NCBI_gene:4094
MGI:102567	NCBI_gene:4901
MGI:2673307	NCBI_gene:389692
MGI:96911	NCBI_gene:4097
MGI:96910	NCBI_gene:23764
MGI:99951	NCBI_gene:7975
MGI:1924814	NCBI_gene:91300
MGI:2141625	NCBI_gene:23165
MGI:88540	NCBI_gene:1446
MGI:1925983	NCBI_gene:10024
MGI:1101760	NCBI_gene:636
MGI:1924145	NCBI_gene:23299
MGI:2443893	NCBI_gene:55036
MGI:1928478	NCBI_gene:1620
MGI:2443333	NCBI_gene:57795
MGI:2443035	NCBI_gene:339479
MGI:88311	NCBI_gene:9133
MGI:88302	NCBI_gene:891
MGI:2685723	NCBI_gene:79616
MGI:2443297	NCBI_gene:54619
MGI:2183443	NCBI_gene:85417
MGI:88313	NCBI_gene:595
MGI:88315	NCBI_gene:896
MGI:88314	NCBI_gene:894
MGI:102551	NCBI_gene:899
MGI:102890	NCBI_gene:900
MGI:1095734	NCBI_gene:901
MGI:1341077	NCBI_gene:10983
MGI:1329034	NCBI_gene:9134
MGI:88316	NCBI_gene:898
MGI:108042	NCBI_gene:8900
MGI:2145534	NCBI_gene:10309
MGI:108069	NCBI_gene:890
MGI:1913507	NCBI_gene:84276
MGI:98791	NCBI_gene:7155
MGI:98790	NCBI_gene:7153
MGI:1321395	NCBI_gene:102724576
MGI:99502	NCBI_gene:4053
MGI:109151	NCBI_gene:4052
MGI:1101355	NCBI_gene:4054
MGI:1919212	NCBI_gene:652968
MGI:1914943	NCBI_gene:25764
MGI:2145099	NCBI_gene:55320
MGI:2443155	NCBI_gene:54847
MGI:2446134	NCBI_gene:51092
MGI:99135	NCBI_gene:7507
MGI:1918234	NCBI_gene:28970
MGI:1858907	NCBI_gene:10904
MGI:2685539	NCBI_gene:348487
MGI:1925658	NCBI_gene:131408
MGI:1923406	NCBI_gene:9715
MGI:5313101	NCBI_gene:101928108
MGI:1346030	NCBI_gene:4062
MGI:1913689	NCBI_gene:119032
MGI:2176433	NCBI_gene:90427
MGI:1916477	NCBI_gene:51714
MGI:1920037	NCBI_gene:55706
MGI:106098	NCBI_gene:102723386
MGI:2679720	NCBI_gene:11326
MGI:1306776	NCBI_gene:4130
MGI:1306778	NCBI_gene:4131
MGI:2443304	NCBI_gene:55201
MGI:95911	NCBI_gene:7923
MGI:95911	NCBI_gene:7923
MGI:95911	NCBI_gene:7923
MGI:95911	NCBI_gene:7923
MGI:95911	NCBI_gene:7923
MGI:95911	NCBI_gene:7923
MGI:2140804	NCBI_gene:345275
MGI:2149821	NCBI_gene:51170
MGI:1924238	NCBI_gene:157506
MGI:1315215	NCBI_gene:9249
MGI:2668443	NCBI_gene:195814
MGI:2442798	NCBI_gene:10170
MGI:1201412	NCBI_gene:102723524
MGI:1351670	NCBI_gene:8630
MGI:1917311	NCBI_gene:121214
MGI:1195275	NCBI_gene:8608
MGI:2678390	NCBI_gene:8608
MGI:1096386	NCBI_gene:3294
MGI:104720	NCBI_gene:3291
MGI:1919161	NCBI_gene:622
MGI:105077	NCBI_gene:3292
MGI:1931237	NCBI_gene:51741
MGI:1925224	NCBI_gene:145226
MGI:102581	NCBI_gene:51109
MGI:1330808	NCBI_gene:51478
MGI:1913315	NCBI_gene:51171
MGI:1333871	NCBI_gene:3028
MGI:1919802	NCBI_gene:83693
MGI:107177	NCBI_gene:3293
MGI:1926967	NCBI_gene:51144
MGI:105089	NCBI_gene:3295
MGI:1916973	NCBI_gene:102724277
MGI:1098672	NCBI_gene:26099
MGI:1929471	NCBI_gene:58529
MGI:2179296	NCBI_gene:91977
MGI:1913063	NCBI_gene:51778
MGI:109448	NCBI_gene:653275
MGI:98658	NCBI_gene:6997
MGI:1932094	NCBI_gene:80864
MGI:1932094	NCBI_gene:80864
MGI:1932094	NCBI_gene:80864
MGI:1932094	NCBI_gene:80864
MGI:1932094	NCBI_gene:80864
MGI:1932094	NCBI_gene:80864
MGI:1932094	NCBI_gene:80864
MGI:2449923	NCBI_gene:51162
MGI:1930124	NCBI_gene:55937
MGI:1930124	NCBI_gene:55937
MGI:1930124	NCBI_gene:55937
MGI:1930124	NCBI_gene:55937
MGI:1930124	NCBI_gene:55937
MGI:1930124	NCBI_gene:55937
MGI:1930124	NCBI_gene:55937
MGI:2384575	NCBI_gene:64748
MGI:2388640	NCBI_gene:79948
MGI:106530	NCBI_gene:9890
MGI:1354945	NCBI_gene:8612
MGI:1915166	NCBI_gene:8613
MGI:108412	NCBI_gene:8611
MGI:2685936	NCBI_gene:196051
MGI:1919160	NCBI_gene:84513
MGI:2445160	NCBI_gene:131096
MGI:1341723	NCBI_gene:23416
MGI:2156184	NCBI_gene:23415
MGI:3584508	NCBI_gene:27133
MGI:1341721	NCBI_gene:3756
MGI:1096392	NCBI_gene:348980
MGI:1298210	NCBI_gene:610
MGI:1298211	NCBI_gene:57657
MGI:1298209	NCBI_gene:10021
MGI:1353562	NCBI_gene:54714
MGI:2664102	NCBI_gene:1258
MGI:88436	NCBI_gene:1259
MGI:2664099	NCBI_gene:1262
MGI:108040	NCBI_gene:1260
MGI:1341818	NCBI_gene:1261
MGI:2159566	NCBI_gene:90134
MGI:2684139	NCBI_gene:81033
MGI:1341722	NCBI_gene:3757
MGI:1923396	NCBI_gene:8675
MGI:1928483	NCBI_gene:6811
MGI:1914977	NCBI_gene:55014
MGI:1858210	NCBI_gene:8417
MGI:1931027	NCBI_gene:23673
MGI:108059	NCBI_gene:2054
MGI:1921982	NCBI_gene:8676
MGI:103077	NCBI_gene:6809
MGI:1915409	NCBI_gene:415117
MGI:1930705	NCBI_gene:112755
MGI:893577	NCBI_gene:6810
MGI:109355	NCBI_gene:6804
MGI:2443082	NCBI_gene:441168
MGI:2143897	NCBI_gene:254228
MGI:3643383	NCBI_gene:255022
MGI:3645665	NCBI_gene:119395
MGI:2685489	NCBI_gene:221301
MGI:1919941	NCBI_gene:51063
MGI:1924893	NCBI_gene:57589
MGI:2447364	NCBI_gene:23381
MGI:2682334	NCBI_gene:9887
MGI:87883	NCBI_gene:54
MGI:3612860	NCBI_gene:254295
MGI:3698419	NCBI_gene:3437
MGI:2148249	NCBI_gene:439996
MGI:99449	NCBI_gene:3433
MGI:1914640	NCBI_gene:55178
MGI:4936930	NCBI_gene:6894
MGI:1916672	NCBI_gene:51555
MGI:1098808	NCBI_gene:5830
MGI:1333830	NCBI_gene:64949
MGI:2442978	NCBI_gene:55239
MGI:1346325	NCBI_gene:10912
MGI:107776	NCBI_gene:4616
MGI:107799	NCBI_gene:1647
MGI:1914346	NCBI_gene:25974
MGI:1933212	NCBI_gene:51335
MGI:2181182	NCBI_gene:9631
MGI:1921696	NCBI_gene:150159
MGI:2140077	NCBI_gene:133308
MGI:2384313	NCBI_gene:9136
MGI:1098772	NCBI_gene:5296
MGI:97583	NCBI_gene:5295
MGI:109277	NCBI_gene:8503
MGI:1924840	NCBI_gene:51363
MGI:1914738	NCBI_gene:57658
MGI:1343177	NCBI_gene:10241
MGI:1289308	NCBI_gene:8887
MGI:2387182	NCBI_gene:55222
MGI:96951	NCBI_gene:56890
MGI:1913371	NCBI_gene:118487
MGI:109359	NCBI_gene:4751
MGI:2387995	NCBI_gene:91754
MGI:1890645	NCBI_gene:140609
MGI:1891638	NCBI_gene:10783
MGI:1890646	NCBI_gene:284086
MGI:2442276	NCBI_gene:79858
MGI:1344371	NCBI_gene:4752
MGI:2142824	NCBI_gene:341676
MGI:1344405	NCBI_gene:10551
MGI:2685734	NCBI_gene:155465
MGI:1913323	NCBI_gene:51060
MGI:2136910	NCBI_gene:55363
MGI:1352504	NCBI_gene:9026
MGI:1099804	NCBI_gene:3092
MGI:1913578	NCBI_gene:140856
MGI:98254	NCBI_gene:6342
MGI:1914303	NCBI_gene:11102
MGI:1859937	NCBI_gene:6561
MGI:2149635	NCBI_gene:64849
MGI:1276558	NCBI_gene:9058
MGI:2442367	NCBI_gene:26266
MGI:3037150	NCBI_gene:102723404
MGI:97454	NCBI_gene:4948
MGI:1923485	NCBI_gene:112487
MGI:1913294	NCBI_gene:92675
MGI:1349391	NCBI_gene:25823
MGI:96942	NCBI_gene:64499
MGI:1915594	NCBI_gene:134288
MGI:1915264	NCBI_gene:55055
MGI:107445	NCBI_gene:440097
MGI:94867	NCBI_gene:120237
MGI:96109	NCBI_gene:3142
MGI:1927354	NCBI_gene:10438
MGI:1921794	NCBI_gene:64418
MGI:2444925	NCBI_gene:139886
MGI:1922101	NCBI_gene:474343
MGI:109242	NCBI_gene:10927
MGI:1891409	NCBI_gene:390874
MGI:1891408	NCBI_gene:9480
MGI:1196423	NCBI_gene:3175
MGI:1915430	NCBI_gene:81888
MGI:1921452	NCBI_gene:54751
MGI:2441849	NCBI_gene:4026
MGI:2675669	NCBI_gene:51203
MGI:108402	NCBI_gene:7884
MGI:2654705	NCBI_gene:56951
MGI:1918685	NCBI_gene:57584
MGI:1924068	NCBI_gene:101927169
MGI:1918556	NCBI_gene:9848
MGI:1914947	NCBI_gene:90480
MGI:95489	NCBI_gene:2200
MGI:95490	NCBI_gene:2201
MGI:97166	NCBI_gene:4477
MGI:3652339	NCBI_gene:692094
MGI:1919955	NCBI_gene:51538
MGI:1923675	NCBI_gene:54994
MGI:1921584	NCBI_gene:57610
MGI:1928741	NCBI_gene:10048
MGI:2446175	NCBI_gene:84926
MGI:1922901	NCBI_gene:56984
MGI:1913748	NCBI_gene:79016
MGI:1925622	NCBI_gene:79622
MGI:2442333	NCBI_gene:60680
MGI:1926034	NCBI_gene:11189
MGI:1923433	NCBI_gene:60677
MGI:1932407	NCBI_gene:56853
MGI:1338822	NCBI_gene:10659
MGI:2444477	NCBI_gene:27303
MGI:1342295	NCBI_gene:10658
MGI:2655711	NCBI_gene:55131
MGI:2679274	NCBI_gene:203054
MGI:1919363	NCBI_gene:57143
MGI:1924139	NCBI_gene:79934
MGI:1914676	NCBI_gene:56997
MGI:1889336	NCBI_gene:90956
MGI:1859017	NCBI_gene:23587
MGI:88054	NCBI_gene:344
MGI:2147598	NCBI_gene:83638
MGI:1314882	NCBI_gene:10114
MGI:2685008	NCBI_gene:147746
MGI:1314872	NCBI_gene:28996
MGI:1314873	NCBI_gene:204851
MGI:1330302	NCBI_gene:9149
MGI:1330299	NCBI_gene:1859
MGI:1330300	NCBI_gene:8444
MGI:1330301	NCBI_gene:8445
MGI:1330292	NCBI_gene:8798
MGI:107403	NCBI_gene:1195
MGI:1098551	NCBI_gene:57396
MGI:1098670	NCBI_gene:1198
MGI:1098669	NCBI_gene:1196
MGI:1922832	NCBI_gene:57614
MGI:1309480	NCBI_gene:23168
MGI:1915813	NCBI_gene:54344
MGI:98247	NCBI_gene:6324
MGI:1918882	NCBI_gene:55800
MGI:2444364	NCBI_gene:54991
MGI:1860418	NCBI_gene:55577
MGI:2149820	NCBI_gene:54187
MGI:103190	NCBI_gene:56667
MGI:1921591	NCBI_gene:284114
MGI:1917028	NCBI_gene:151963
MGI:1919124	NCBI_gene:79919
MGI:2446273	NCBI_gene:126868
MGI:1333773	NCBI_gene:4081
MGI:1346022	NCBI_gene:10586
MGI:1920588	NCBI_gene:150771
MGI:3042776	NCBI_gene:85450
MGI:2442416	NCBI_gene:162073
MGI:2442261	NCBI_gene:115004
MGI:2444398	NCBI_gene:158358
MGI:1915270	NCBI_gene:84334
MGI:2144877	NCBI_gene:55812
MGI:2443443	NCBI_gene:84811
MGI:2685869	NCBI_gene:286148
MGI:2443952	NCBI_gene:147991
MGI:2444662	NCBI_gene:283417
MGI:1915685	NCBI_gene:23333
MGI:1926046	NCBI_gene:29063
MGI:109328	NCBI_gene:662
MGI:1915277	NCBI_gene:130733
MGI:1914803	NCBI_gene:79807
MGI:1919435	NCBI_gene:79007
MGI:106562	NCBI_gene:55861
MGI:2137586	NCBI_gene:84062
MGI:96159	NCBI_gene:3156
MGI:1914637	NCBI_gene:25972
MGI:1917317	NCBI_gene:55780
MGI:2153093	NCBI_gene:1464
MGI:1914161	NCBI_gene:84309
MGI:1922936	NCBI_gene:131870
MGI:1346082	NCBI_gene:10899
MGI:1354944	NCBI_gene:23595
MGI:1917040	NCBI_gene:90390
MGI:95388	NCBI_gene:2018
MGI:95387	NCBI_gene:2016
MGI:1346018	NCBI_gene:25806
MGI:1277163	NCBI_gene:11023
MGI:1915573	NCBI_gene:102724088
MGI:2178598	NCBI_gene:81567
MGI:2178598	NCBI_gene:63915
MGI:2685452	NCBI_gene:647309
MGI:3648807	NCBI_gene:345643
MGI:1927344	NCBI_gene:51053
MGI:2442781	NCBI_gene:92691
MGI:1196217	NCBI_gene:285343
MGI:2443469	NCBI_gene:162333
MGI:1931053	NCBI_gene:64844
MGI:2146818	NCBI_gene:221443
MGI:1891066	NCBI_gene:366
MGI:1333777	NCBI_gene:360
MGI:1314647	NCBI_gene:102724507
MGI:1195271	NCBI_gene:343
MGI:1341204	NCBI_gene:363
MGI:1096865	NCBI_gene:359
MGI:106215	NCBI_gene:362
MGI:96990	NCBI_gene:4284
MGI:103201	NCBI_gene:358
MGI:107387	NCBI_gene:361
MGI:1917573	NCBI_gene:57226
MGI:1913499	NCBI_gene:56902
MGI:2135957	NCBI_gene:23125
MGI:2140230	NCBI_gene:23261
MGI:107169	NCBI_gene:6727
MGI:106677	NCBI_gene:6571
MGI:106684	NCBI_gene:6570
MGI:1923556	NCBI_gene:116843
MGI:88318	NCBI_gene:929
MGI:1915783	NCBI_gene:10200
MGI:1197010	NCBI_gene:7341
MGI:1336201	NCBI_gene:6612
MGI:1329015	NCBI_gene:84901
MGI:2158813	NCBI_gene:101929087
MGI:1340806	NCBI_gene:142
MGI:1891258	NCBI_gene:10039
MGI:1341112	NCBI_gene:10038
MGI:96561	NCBI_gene:3574
MGI:1336878	NCBI_gene:6872
MGI:1918993	NCBI_gene:80347
MGI:1915337	NCBI_gene:79877
MGI:1917364	NCBI_gene:5638
MGI:2442211	NCBI_gene:79056
MGI:2685214	NCBI_gene:79057
MGI:3045251	NCBI_gene:341277
MGI:1919847	NCBI_gene:26053
MGI:104648	NCBI_gene:64319
MGI:1920907	NCBI_gene:57666
MGI:2687207	NCBI_gene:102724071
MGI:2140872	NCBI_gene:90634
MGI:2684414	NCBI_gene:55728
MGI:3769724	NCBI_gene:220074
MGI:88470	NCBI_gene:1312
MGI:1916406	NCBI_gene:118881
MGI:1261910	NCBI_gene:10464
MGI:98344	NCBI_gene:6632
MGI:1354692	NCBI_gene:25804
MGI:1914582	NCBI_gene:6634
MGI:2685049	NCBI_gene:127665
MGI:2444666	NCBI_gene:170960
MGI:1917933	NCBI_gene:27340
MGI:1928761	NCBI_gene:10560
MGI:103182	NCBI_gene:101928717
MGI:1931307	NCBI_gene:80704
MGI:1913634	NCBI_gene:6728
MGI:1913506	NCBI_gene:6746
MGI:1330824	NCBI_gene:8048
MGI:88549	NCBI_gene:1465
MGI:1202907	NCBI_gene:1466
MGI:103098	NCBI_gene:10630
MGI:99187	NCBI_gene:132625
MGI:99150	NCBI_gene:102466730
MGI:3582693	NCBI_gene:26092
MGI:3582695	NCBI_gene:163590
MGI:1919163	NCBI_gene:84283
MGI:1917129	NCBI_gene:55204
MGI:1913879	NCBI_gene:64083
MGI:1914665	NCBI_gene:100294033
MGI:2385258	NCBI_gene:101928422
MGI:2151841	NCBI_gene:26051
MGI:1915450	NCBI_gene:100507424
MGI:2685715	NCBI_gene:51696
MGI:1924356	NCBI_gene:57583
MGI:1930773	NCBI_gene:25953
MGI:1919877	NCBI_gene:84264
MGI:95745	NCBI_gene:3029
MGI:1920102	NCBI_gene:153364
MGI:1913321	NCBI_gene:23474
MGI:1914130	NCBI_gene:51319
MGI:1328365	NCBI_gene:15
MGI:1914145	NCBI_gene:221749
MGI:103287	NCBI_gene:8233
MGI:2678374	NCBI_gene:199746
MGI:98884	NCBI_gene:102724594
MGI:1920144	NCBI_gene:152206
MGI:2682313	NCBI_gene:63925
MGI:107342	NCBI_gene:55734
MGI:2683557	NCBI_gene:285971
MGI:2444966	NCBI_gene:253017
MGI:1915408	NCBI_gene:9524
MGI:98400	NCBI_gene:6715
MGI:3612244	NCBI_gene:27094
MGI:1334203	NCBI_gene:3779
MGI:1919663	NCBI_gene:10242
MGI:1913272	NCBI_gene:27345
MGI:106498	NCBI_gene:101928189
MGI:1926232	NCBI_gene:6432
MGI:104896	NCBI_gene:283459
MGI:2685663	NCBI_gene:375316
MGI:98283	NCBI_gene:6426
MGI:98285	NCBI_gene:6428
MGI:98287	NCBI_gene:6430
MGI:1915246	NCBI_gene:6431
MGI:1890577	NCBI_gene:6429
MGI:2652882	NCBI_gene:285175
MGI:109263	NCBI_gene:7247
MGI:1855672	NCBI_gene:7257
MGI:1926116	NCBI_gene:23172
MGI:1917931	NCBI_gene:84142
MGI:1914869	NCBI_gene:28987
MGI:1315204	NCBI_gene:30061
MGI:2135885	NCBI_gene:57089
MGI:1914714	NCBI_gene:9583
MGI:1321386	NCBI_gene:956
MGI:102805	NCBI_gene:953
MGI:1919340	NCBI_gene:377841
MGI:1096863	NCBI_gene:954
MGI:1202295	NCBI_gene:955
MGI:1321385	NCBI_gene:957
MGI:98038	NCBI_gene:6161
MGI:1913741	NCBI_gene:5441
MGI:2153466	NCBI_gene:83741
MGI:106032	NCBI_gene:7022
MGI:2679630	NCBI_gene:339488
MGI:104672	NCBI_gene:7021
MGI:104671	NCBI_gene:7020
MGI:1858233	NCBI_gene:4867
MGI:1330312	NCBI_gene:55110
MGI:1913691	NCBI_gene:55110
MGI:2385211	NCBI_gene:199870
MGI:1920076	NCBI_gene:143684
MGI:1918849	NCBI_gene:123228
MGI:1336194	NCBI_gene:1200
MGI:1096324	NCBI_gene:7940
MGI:1096324	NCBI_gene:7940
MGI:1096324	NCBI_gene:7940
MGI:1096324	NCBI_gene:7940
MGI:1096324	NCBI_gene:7940
MGI:1096324	NCBI_gene:7940
MGI:1096324	NCBI_gene:7940
MGI:1096324	NCBI_gene:7940
MGI:104889	NCBI_gene:7342
MGI:2444691	NCBI_gene:29842
MGI:98509	NCBI_gene:7024
MGI:2182543	NCBI_gene:79977
MGI:2655333	NCBI_gene:57822
MGI:2182540	NCBI_gene:29841
MGI:1926788	NCBI_gene:51074
MGI:1927655	NCBI_gene:2677
MGI:1926274	NCBI_gene:9801
MGI:96787	NCBI_gene:3976
MGI:2146407	NCBI_gene:23355
MGI:3583957	NCBI_gene:256764
MGI:1918367	NCBI_gene:5929
MGI:1932288	NCBI_gene:102724945
MGI:1932287	NCBI_gene:53916
MGI:1932286	NCBI_gene:54583
MGI:105086	NCBI_gene:101928620
MGI:2442934	NCBI_gene:100127206
MGI:2667167	NCBI_gene:23251
MGI:1923786	NCBI_gene:27249
MGI:3045307	NCBI_gene:55001
MGI:1859270	NCBI_gene:23265
MGI:1915091	NCBI_gene:64422
MGI:3045346	NCBI_gene:85016
MGI:2384580	NCBI_gene:55783
MGI:1921407	NCBI_gene:23070
MGI:1919325	NCBI_gene:11054
MGI:1917405	NCBI_gene:79627
MGI:1923389	NCBI_gene:54801
MGI:1913359	NCBI_gene:27075
MGI:1914375	NCBI_gene:102724500
MGI:1917673	NCBI_gene:23555
MGI:1919012	NCBI_gene:340348
MGI:1926264	NCBI_gene:7105
MGI:1298407	NCBI_gene:7102
MGI:97998	NCBI_gene:6094
MGI:102791	NCBI_gene:5961
MGI:1096398	NCBI_gene:975
MGI:1917997	NCBI_gene:10100
MGI:88348	NCBI_gene:928
MGI:88330	NCBI_gene:951
MGI:1924558	NCBI_gene:10867
MGI:88341	NCBI_gene:963
MGI:104651	NCBI_gene:3732
MGI:1928097	NCBI_gene:7106
MGI:98912	NCBI_gene:7348
MGI:98911	NCBI_gene:11045
MGI:1914055	NCBI_gene:10103
MGI:1917186	NCBI_gene:90139
MGI:2384918	NCBI_gene:7103
MGI:1915748	NCBI_gene:441631
MGI:1928098	NCBI_gene:10099
MGI:1889818	NCBI_gene:23554
MGI:1096360	NCBI_gene:977
MGI:2384781	NCBI_gene:102725415
MGI:1196325	NCBI_gene:81619
MGI:1921507	NCBI_gene:26262
MGI:1928096	NCBI_gene:10098
MGI:99529	NCBI_gene:967
MGI:1914707	NCBI_gene:83786
MGI:1930618	NCBI_gene:889
MGI:2159727	NCBI_gene:54756
MGI:2159336	NCBI_gene:102723646
MGI:1889371	NCBI_gene:132014
MGI:1355292	NCBI_gene:55540
MGI:107399	NCBI_gene:23765
MGI:1914248	NCBI_gene:5711
MGI:1923578	NCBI_gene:80789
MGI:2446584	NCBI_gene:56911
MGI:1346877	NCBI_gene:6885
MGI:2138982	NCBI_gene:57169
MGI:2443480	NCBI_gene:23064
MGI:1925705	NCBI_gene:9931
MGI:1276102	NCBI_gene:9716
MGI:2443732	NCBI_gene:1763
MGI:107995	NCBI_gene:5976
MGI:1891384	NCBI_gene:54456
MGI:97054	NCBI_gene:4343
MGI:99954	NCBI_gene:3508
MGI:2384309	NCBI_gene:5437
MGI:2685134	NCBI_gene:57820
MGI:1926154	NCBI_gene:200844
MGI:107428	NCBI_gene:29105
MGI:1926097	NCBI_gene:145270
MGI:2139758	NCBI_gene:9635
MGI:2139790	NCBI_gene:22802
MGI:2139744	NCBI_gene:22802
MGI:1346342	NCBI_gene:1179
MGI:1917579	NCBI_gene:54856
MGI:2142364	NCBI_gene:8479
MGI:109160	NCBI_gene:3110
MGI:2141942	NCBI_gene:9738
MGI:2446190	NCBI_gene:23511
MGI:2679294	NCBI_gene:55906
MGI:106253	NCBI_gene:9933
MGI:1913961	NCBI_gene:51119
MGI:1349385	NCBI_gene:8291
MGI:1919192	NCBI_gene:26509
MGI:3645398	NCBI_gene:654463
MGI:1891247	NCBI_gene:9381
MGI:2441697	NCBI_gene:57512
MGI:1925201	NCBI_gene:57404
MGI:2685419	NCBI_gene:55966
MGI:101941	NCBI_gene:1869
MGI:1354159	NCBI_gene:1876
MGI:1096341	NCBI_gene:1870
MGI:1096340	NCBI_gene:1871
MGI:105091	NCBI_gene:1875
MGI:103012	NCBI_gene:1874
MGI:1922038	NCBI_gene:79733
MGI:1289147	NCBI_gene:144455
MGI:2443264	NCBI_gene:222223
MGI:1923930	NCBI_gene:102724871
