MGI:2387618	ZFIN:ZDB-GENE-070410-44
MGI:88293	ZFIN:ZDB-GENE-030616-135
MGI:1859639	ZFIN:ZDB-GENE-031104-1
MGI:103013	ZFIN:ZDB-GENE-020129-1
MGI:107516	ZFIN:ZDB-GENE-000622-1
MGI:109497	ZFIN:ZDB-GENE-980526-340
MGI:1927616	ZFIN:ZDB-GENE-030131-8404
MGI:95664	ZFIN:ZDB-GENE-980526-476
MGI:95663	ZFIN:ZDB-GENE-990415-82
MGI:95662	ZFIN:ZDB-GENE-980526-260
MGI:3696042	ZFIN:ZDB-GENE-060825-359
MGI:102548	ZFIN:ZDB-GENE-030131-2702
MGI:1931050	ZFIN:ZDB-GENE-080806-1
MGI:95321	ZFIN:ZDB-GENE-070705-158
MGI:2685537	ZFIN:ZDB-GENE-040426-1548
MGI:88208	ZFIN:ZDB-GENE-030131-9638
MGI:108077	ZFIN:ZDB-GENE-040426-1821
MGI:2384874	ZFIN:ZDB-GENE-030131-5373
MGI:3576210	ZFIN:ZDB-GENE-081022-51
MGI:1919574	ZFIN:ZDB-GENE-081104-391
MGI:1316737	ZFIN:ZDB-GENE-081022-103
MGI:2443235	ZFIN:ZDB-GENE-040724-96
MGI:1922815	ZFIN:ZDB-GENE-041010-62
MGI:1913305	ZFIN:ZDB-GENE-040625-36
MGI:1914037	ZFIN:ZDB-GENE-040426-2777
MGI:2675617	ZFIN:ZDB-GENE-100917-1
MGI:2138271	ZFIN:ZDB-GENE-040426-1384
MGI:109153	ZFIN:ZDB-GENE-030408-4
MGI:1920989	ZFIN:ZDB-GENE-030131-5074
MGI:1928486	ZFIN:ZDB-GENE-030131-1187
MGI:1926156	ZFIN:ZDB-GENE-120215-232
MGI:1920039	ZFIN:ZDB-GENE-041014-375
MGI:1922658	ZFIN:ZDB-GENE-050522-545
MGI:1923725	ZFIN:ZDB-GENE-050306-22
MGI:3649411	ZFIN:ZDB-GENE-040625-180
MGI:88475	ZFIN:ZDB-GENE-040625-180
MGI:109523	ZFIN:ZDB-GENE-040724-114
MGI:109527	ZFIN:ZDB-GENE-050712-3
MGI:1349470	ZFIN:ZDB-GENE-091113-40
MGI:109524	ZFIN:ZDB-GENE-040812-1
MGI:109528	ZFIN:ZDB-GENE-070830-1
MGI:104555	ZFIN:ZDB-GENE-980526-515
MGI:2673307	ZFIN:ZDB-GENE-010605-3
MGI:96911	ZFIN:ZDB-GENE-040624-7
MGI:96911	ZFIN:ZDB-GENE-040426-2403
MGI:96910	ZFIN:ZDB-GENE-040426-1280
MGI:99951	ZFIN:ZDB-GENE-040624-9
MGI:1924814	ZFIN:ZDB-GENE-070112-1352
MGI:2141625	ZFIN:ZDB-GENE-040715-8
MGI:1925983	ZFIN:ZDB-GENE-030131-1968
MGI:1101760	ZFIN:ZDB-GENE-081031-9
MGI:2443893	ZFIN:ZDB-GENE-060503-723
MGI:88311	ZFIN:ZDB-GENE-030429-12
MGI:88302	ZFIN:ZDB-GENE-000406-10
MGI:2183443	ZFIN:ZDB-GENE-060929-684
MGI:88313	ZFIN:ZDB-GENE-980526-176
MGI:88314	ZFIN:ZDB-GENE-070424-30
MGI:102551	ZFIN:ZDB-GENE-021030-2
MGI:102890	ZFIN:ZDB-GENE-020322-1
MGI:1095734	ZFIN:ZDB-GENE-021016-1
MGI:1341077	ZFIN:ZDB-GENE-040426-2898
MGI:1329034	ZFIN:ZDB-GENE-030131-9689
MGI:88316	ZFIN:ZDB-GENE-980526-168
MGI:108042	ZFIN:ZDB-GENE-040311-2
MGI:108069	ZFIN:ZDB-GENE-020418-1
MGI:1913507	ZFIN:ZDB-GENE-040801-129
MGI:98791	ZFIN:ZDB-GENE-041008-136
MGI:98790	ZFIN:ZDB-GENE-030131-2453
MGI:1101355	ZFIN:ZDB-GENE-060526-130
MGI:1933384	ZFIN:ZDB-GENE-030131-5505
MGI:1914943	ZFIN:ZDB-GENE-080515-6
MGI:2145099	ZFIN:ZDB-GENE-030616-151
MGI:2446134	ZFIN:ZDB-GENE-030131-7356
MGI:99135	ZFIN:ZDB-GENE-040426-1205
MGI:1918234	ZFIN:ZDB-GENE-030131-1069
MGI:1858907	ZFIN:ZDB-GENE-000330-7
MGI:2685539	ZFIN:ZDB-GENE-050706-119
MGI:1925658	ZFIN:ZDB-GENE-070719-4
MGI:1923406	ZFIN:ZDB-GENE-060503-616
MGI:1923406	ZFIN:ZDB-GENE-100922-12
MGI:1913689	ZFIN:ZDB-GENE-050913-112
MGI:2176433	ZFIN:ZDB-GENE-041210-319
MGI:1916477	ZFIN:ZDB-GENE-030327-6
MGI:1920037	ZFIN:ZDB-GENE-030131-7176
MGI:106098	ZFIN:ZDB-GENE-040426-1931
MGI:2443304	ZFIN:ZDB-GENE-070912-412
MGI:95911	ZFIN:ZDB-GENE-010110-1
MGI:1924238	ZFIN:ZDB-GENE-070112-2242
MGI:1315215	ZFIN:ZDB-GENE-041010-172
MGI:2685269	ZFIN:ZDB-GENE-040426-2861
MGI:2442798	ZFIN:ZDB-GENE-030131-1249
MGI:1201412	ZFIN:ZDB-GENE-050208-411
MGI:1096386	ZFIN:ZDB-GENE-040928-1
MGI:104720	ZFIN:ZDB-GENE-030131-6030
MGI:105077	ZFIN:ZDB-GENE-040901-5
MGI:1931237	ZFIN:ZDB-GENE-040426-858
MGI:102581	ZFIN:ZDB-GENE-040718-9
MGI:1330808	ZFIN:ZDB-GENE-061013-378
MGI:1913315	ZFIN:ZDB-GENE-040801-24
MGI:1333871	ZFIN:ZDB-GENE-041010-201
MGI:1919802	ZFIN:ZDB-GENE-041212-31
MGI:107177	ZFIN:ZDB-GENE-040426-1339
MGI:1926967	ZFIN:ZDB-GENE-030131-5628
MGI:105089	ZFIN:ZDB-GENE-040421-1
MGI:1916973	ZFIN:ZDB-GENE-060825-212
MGI:1098672	ZFIN:ZDB-GENE-050522-55
MGI:1929471	ZFIN:ZDB-GENE-040426-1875
MGI:1913063	ZFIN:ZDB-GENE-040426-1880
MGI:98658	ZFIN:ZDB-GENE-990415-198
MGI:2449923	ZFIN:ZDB-GENE-040429-2
MGI:2384575	ZFIN:ZDB-GENE-040426-1171
MGI:2388640	ZFIN:ZDB-GENE-070912-555
MGI:106530	ZFIN:ZDB-GENE-070705-280
MGI:1923019	ZFIN:ZDB-GENE-070620-15
MGI:1915166	ZFIN:ZDB-GENE-060526-241
MGI:2685936	ZFIN:ZDB-GENE-081107-53
MGI:1919160	ZFIN:ZDB-GENE-040704-54
MGI:2445160	ZFIN:ZDB-GENE-060503-204
MGI:3584508	ZFIN:ZDB-GENE-061106-2
MGI:1341721	ZFIN:ZDB-GENE-061226-1
MGI:1298210	ZFIN:ZDB-GENE-030131-8228
MGI:1298209	ZFIN:ZDB-GENE-050420-360
MGI:1353562	ZFIN:ZDB-GENE-090611-1
MGI:2664102	ZFIN:ZDB-GENE-050419-164
MGI:88436	ZFIN:ZDB-GENE-090312-66
MGI:2664099	ZFIN:ZDB-GENE-070912-292
MGI:108040	ZFIN:ZDB-GENE-061005-1
MGI:1341818	ZFIN:ZDB-GENE-090611-2
MGI:2159566	ZFIN:ZDB-GENE-120214-39
MGI:1341722	ZFIN:ZDB-GENE-070912-699
MGI:1923396	ZFIN:ZDB-GENE-060810-113
MGI:1928483	ZFIN:ZDB-GENE-040718-18
MGI:1914977	ZFIN:ZDB-GENE-041114-164
MGI:1858210	ZFIN:ZDB-GENE-041014-35
MGI:1931027	ZFIN:ZDB-GENE-040625-11
MGI:108059	ZFIN:ZDB-GENE-091204-424
MGI:1921982	ZFIN:ZDB-GENE-040426-1893
MGI:103077	ZFIN:ZDB-GENE-040426-1489
MGI:1930705	ZFIN:ZDB-GENE-000330-4
MGI:893577	ZFIN:ZDB-GENE-030131-2455
MGI:1919026	ZFIN:ZDB-GENE-040704-14
MGI:2143897	ZFIN:ZDB-GENE-061201-60
MGI:3643383	ZFIN:ZDB-GENE-090312-195
MGI:3645665	ZFIN:ZDB-GENE-081107-70
MGI:1919941	ZFIN:ZDB-GENE-030616-561
MGI:2447364	ZFIN:ZDB-GENE-050913-144
MGI:2682334	ZFIN:ZDB-GENE-030131-9122
MGI:87883	ZFIN:ZDB-GENE-040426-2864
MGI:3612860	ZFIN:ZDB-GENE-041114-159
MGI:1914640	ZFIN:ZDB-GENE-050417-184
MGI:4936930	ZFIN:ZDB-GENE-090313-346
MGI:4936930	ZFIN:ZDB-GENE-090313-347
MGI:2443470	ZFIN:ZDB-GENE-060526-229
MGI:1916672	ZFIN:ZDB-GENE-070705-298
MGI:1098808	ZFIN:ZDB-GENE-040426-981
MGI:1333830	ZFIN:ZDB-GENE-040718-115
MGI:2442978	ZFIN:ZDB-GENE-030131-3294
MGI:1346325	ZFIN:ZDB-GENE-040426-1882
MGI:107776	ZFIN:ZDB-GENE-040426-1971
MGI:107799	ZFIN:ZDB-GENE-040426-1501
MGI:1914346	ZFIN:ZDB-GENE-030131-3167
MGI:1933212	ZFIN:ZDB-GENE-060503-19
MGI:2181182	ZFIN:ZDB-GENE-040426-711
MGI:2140077	ZFIN:ZDB-GENE-110411-203
MGI:2384313	ZFIN:ZDB-GENE-060427-1
MGI:1098772	ZFIN:ZDB-GENE-040309-1
MGI:97583	ZFIN:ZDB-GENE-030131-1280
MGI:109277	ZFIN:ZDB-GENE-040426-743
MGI:1914738	ZFIN:ZDB-GENE-030131-6911
MGI:1289308	ZFIN:ZDB-GENE-030131-2872
MGI:2387182	ZFIN:ZDB-GENE-041114-49
MGI:96951	ZFIN:ZDB-GENE-041210-117
MGI:1913371	ZFIN:ZDB-GENE-060810-176
MGI:109359	ZFIN:ZDB-GENE-040426-752
MGI:1890645	ZFIN:ZDB-GENE-040801-136
MGI:1891638	ZFIN:ZDB-GENE-040724-133
MGI:1890646	ZFIN:ZDB-GENE-020509-1
MGI:2442276	ZFIN:ZDB-GENE-100922-73
MGI:1344405	ZFIN:ZDB-GENE-050417-214
MGI:2685734	ZFIN:ZDB-GENE-030131-7249
MGI:1913323	ZFIN:ZDB-GENE-050522-497
MGI:1352504	ZFIN:ZDB-GENE-070209-59
MGI:1099804	ZFIN:ZDB-GENE-010328-15
MGI:98254	ZFIN:ZDB-GENE-040426-1846
MGI:1914303	ZFIN:ZDB-GENE-050522-182
MGI:1859937	ZFIN:ZDB-GENE-031222-3
MGI:2149635	ZFIN:ZDB-GENE-040426-2486
MGI:1276558	ZFIN:ZDB-GENE-040426-2389
MGI:2442367	ZFIN:ZDB-GENE-070424-71
MGI:3037150	ZFIN:ZDB-GENE-030131-4628
MGI:97454	ZFIN:ZDB-GENE-070718-4
MGI:1923485	ZFIN:ZDB-GENE-040822-45
MGI:1913294	ZFIN:ZDB-GENE-040801-175
MGI:96942	ZFIN:ZDB-GENE-070720-11
MGI:1915594	ZFIN:ZDB-GENE-080819-2
MGI:1915264	ZFIN:ZDB-GENE-050420-101
MGI:107445	ZFIN:ZDB-GENE-000128-13
MGI:94867	ZFIN:ZDB-GENE-000128-8
MGI:96109	ZFIN:ZDB-GENE-030131-5304
MGI:1927354	ZFIN:ZDB-GENE-041024-8
MGI:1921794	ZFIN:ZDB-GENE-090406-3
MGI:1891408	ZFIN:ZDB-GENE-120215-73
MGI:1196423	ZFIN:ZDB-GENE-040426-1469
MGI:1915430	ZFIN:ZDB-GENE-040426-1273
MGI:1921452	ZFIN:ZDB-GENE-061013-662
MGI:2441849	ZFIN:ZDB-GENE-040426-918
MGI:2675669	ZFIN:ZDB-GENE-030827-5
MGI:108402	ZFIN:ZDB-GENE-030131-9686
MGI:2654705	ZFIN:ZDB-GENE-120215-136
MGI:1918685	ZFIN:ZDB-GENE-090918-5
MGI:1914947	ZFIN:ZDB-GENE-091204-282
MGI:97166	ZFIN:ZDB-GENE-110411-191
MGI:3652339	ZFIN:ZDB-GENE-081104-94
MGI:1919955	ZFIN:ZDB-GENE-040325-2
MGI:1923675	ZFIN:ZDB-GENE-040426-1669
MGI:1921584	ZFIN:ZDB-GENE-070705-86
MGI:1928741	ZFIN:ZDB-GENE-021030-5
MGI:2446175	ZFIN:ZDB-GENE-070928-22
MGI:1922901	ZFIN:ZDB-GENE-040426-1972
MGI:1913748	ZFIN:ZDB-GENE-040426-2137
MGI:1925622	ZFIN:ZDB-GENE-050417-179
MGI:2442333	ZFIN:ZDB-GENE-050208-746
MGI:1926034	ZFIN:ZDB-GENE-000501-2
MGI:1923433	ZFIN:ZDB-GENE-120215-101
MGI:1932407	ZFIN:ZDB-GENE-040718-300
MGI:1338822	ZFIN:ZDB-GENE-030826-35
MGI:1342295	ZFIN:ZDB-GENE-000501-1
MGI:2679274	ZFIN:ZDB-GENE-081104-149
MGI:1919363	ZFIN:ZDB-GENE-080401-5
MGI:1924139	ZFIN:ZDB-GENE-060503-803
MGI:1914676	ZFIN:ZDB-GENE-040718-487
MGI:1859017	ZFIN:ZDB-GENE-061215-33
MGI:88054	ZFIN:ZDB-GENE-030131-2168
MGI:95474	ZFIN:ZDB-GENE-041010-181
MGI:2147598	ZFIN:ZDB-GENE-040426-1126
MGI:1314882	ZFIN:ZDB-GENE-030131-82
MGI:1314872	ZFIN:ZDB-GENE-031125-4
MGI:1330302	ZFIN:ZDB-GENE-060503-499
MGI:1330299	ZFIN:ZDB-GENE-030131-5677
MGI:1330299	ZFIN:ZDB-GENE-050302-29
MGI:1330300	ZFIN:ZDB-GENE-080219-31
MGI:1330301	ZFIN:ZDB-GENE-030131-2804
MGI:1330292	ZFIN:ZDB-GENE-091015-3
MGI:107403	ZFIN:ZDB-GENE-050227-19
MGI:1098669	ZFIN:ZDB-GENE-030131-298
MGI:1922832	ZFIN:ZDB-GENE-040426-1507
MGI:1309480	ZFIN:ZDB-GENE-030131-6778
MGI:1915813	ZFIN:ZDB-GENE-040426-1782
MGI:98247	ZFIN:ZDB-GENE-060503-604
MGI:1918882	ZFIN:ZDB-GENE-070920-2
MGI:1860418	ZFIN:ZDB-GENE-070928-19
MGI:2149820	ZFIN:ZDB-GENE-030131-1500
MGI:2446273	ZFIN:ZDB-GENE-070912-242
MGI:1333773	ZFIN:ZDB-GENE-020516-1
MGI:1346022	ZFIN:ZDB-GENE-011101-3
MGI:3042776	ZFIN:ZDB-GENE-050417-422
MGI:2442261	ZFIN:ZDB-GENE-090313-23
MGI:1915270	ZFIN:ZDB-GENE-090313-66
MGI:2144877	ZFIN:ZDB-GENE-050419-61
MGI:2443443	ZFIN:ZDB-GENE-030131-6333
MGI:1926046	ZFIN:ZDB-GENE-080204-65
MGI:109328	ZFIN:ZDB-GENE-120203-6
MGI:1915277	ZFIN:ZDB-GENE-060929-756
MGI:3647581	ZFIN:ZDB-GENE-040718-92
MGI:1914803	ZFIN:ZDB-GENE-050320-41
MGI:2137586	ZFIN:ZDB-GENE-060503-889
MGI:2137586	ZFIN:ZDB-GENE-040426-1036
MGI:96159	ZFIN:ZDB-GENE-040401-2
MGI:1914637	ZFIN:ZDB-GENE-040426-907
MGI:2153093	ZFIN:ZDB-GENE-050519-1
MGI:3040697	ZFIN:ZDB-GENE-070705-337
MGI:1922936	ZFIN:ZDB-GENE-041010-100
MGI:1346082	ZFIN:ZDB-GENE-060503-674
MGI:1354944	ZFIN:ZDB-GENE-030131-6247
MGI:1917040	ZFIN:ZDB-GENE-040426-1676
MGI:95388	ZFIN:ZDB-GENE-990415-54
MGI:95387	ZFIN:ZDB-GENE-031007-7
MGI:1277163	ZFIN:ZDB-GENE-030904-9
MGI:1915573	ZFIN:ZDB-GENE-041010-171
MGI:2178598	ZFIN:ZDB-GENE-030131-3502
MGI:1927344	ZFIN:ZDB-GENE-030429-30
MGI:2146818	ZFIN:ZDB-GENE-050522-480
MGI:1891066	ZFIN:ZDB-GENE-070911-1
MGI:1333777	ZFIN:ZDB-GENE-040724-66
MGI:1314647	ZFIN:ZDB-GENE-030131-6461
MGI:1195271	ZFIN:ZDB-GENE-070112-1802
MGI:96990	ZFIN:ZDB-GENE-050706-86
MGI:103201	ZFIN:ZDB-GENE-030131-7764
MGI:107387	ZFIN:ZDB-GENE-040724-152
MGI:1917573	ZFIN:ZDB-GENE-040914-27
MGI:1913499	ZFIN:ZDB-GENE-040426-1419
MGI:107169	ZFIN:ZDB-GENE-050913-131
MGI:106677	ZFIN:ZDB-GENE-080514-1
MGI:1923556	ZFIN:ZDB-GENE-050417-386
MGI:1915783	ZFIN:ZDB-GENE-040801-137
MGI:1197010	ZFIN:ZDB-GENE-040426-2186
MGI:1336201	ZFIN:ZDB-GENE-040718-426
MGI:1329015	ZFIN:ZDB-GENE-030131-9520
MGI:2158813	ZFIN:ZDB-GENE-040801-7
MGI:1340806	ZFIN:ZDB-GENE-030131-3955
MGI:1891258	ZFIN:ZDB-GENE-030131-7435
MGI:1341112	ZFIN:ZDB-GENE-031113-6
MGI:1336878	ZFIN:ZDB-GENE-030131-5576
MGI:1918993	ZFIN:ZDB-GENE-040912-137
MGI:1915337	ZFIN:ZDB-GENE-060825-226
MGI:1917364	ZFIN:ZDB-GENE-041010-20
MGI:2442211	ZFIN:ZDB-GENE-050417-112
MGI:2685214	ZFIN:ZDB-GENE-091204-100
MGI:3045251	ZFIN:ZDB-GENE-061207-75
MGI:1919847	ZFIN:ZDB-GENE-030616-571
MGI:1920907	ZFIN:ZDB-GENE-070705-487
MGI:2684414	ZFIN:ZDB-GENE-061103-451
MGI:88470	ZFIN:ZDB-GENE-040724-164
MGI:1916406	ZFIN:ZDB-GENE-030131-1072
MGI:1261910	ZFIN:ZDB-GENE-040801-94
MGI:98344	ZFIN:ZDB-GENE-020419-14
MGI:1354692	ZFIN:ZDB-GENE-040426-1652
MGI:1914582	ZFIN:ZDB-GENE-030131-5219
MGI:2685049	ZFIN:ZDB-GENE-120215-149
MGI:1917933	ZFIN:ZDB-GENE-080225-38
MGI:1928761	ZFIN:ZDB-GENE-110411-262
MGI:1931307	ZFIN:ZDB-GENE-050419-166
MGI:1913634	ZFIN:ZDB-GENE-040426-2657
MGI:1913506	ZFIN:ZDB-GENE-010413-1
MGI:1330824	ZFIN:ZDB-GENE-041010-119
MGI:88549	ZFIN:ZDB-GENE-030909-4
MGI:1202907	ZFIN:ZDB-GENE-040426-1863
MGI:103098	ZFIN:ZDB-GENE-030131-4106
MGI:99150	ZFIN:ZDB-GENE-030131-1117
MGI:3582695	ZFIN:ZDB-GENE-050410-15
MGI:3582695	ZFIN:ZDB-GENE-081105-150
MGI:1919163	ZFIN:ZDB-GENE-120807-1
MGI:1913879	ZFIN:ZDB-GENE-041010-209
MGI:2385258	ZFIN:ZDB-GENE-030131-2035
MGI:1915450	ZFIN:ZDB-GENE-041008-161
MGI:2685715	ZFIN:ZDB-GENE-041001-173
MGI:1924356	ZFIN:ZDB-GENE-060503-309
MGI:1930773	ZFIN:ZDB-GENE-050208-278
MGI:95745	ZFIN:ZDB-GENE-030131-8921
MGI:1920102	ZFIN:ZDB-GENE-081104-313
MGI:1913321	ZFIN:ZDB-GENE-040426-2503
MGI:1914130	ZFIN:ZDB-GENE-040426-2374
MGI:1328365	ZFIN:ZDB-GENE-040329-1
MGI:1914145	ZFIN:ZDB-GENE-091204-294
MGI:103287	ZFIN:ZDB-GENE-030131-1495
MGI:98884	ZFIN:ZDB-GENE-020419-1
MGI:1920144	ZFIN:ZDB-GENE-061207-11
MGI:107342	ZFIN:ZDB-GENE-031118-80
MGI:2683557	ZFIN:ZDB-GENE-040426-1319
MGI:1915408	ZFIN:ZDB-GENE-030131-5154
MGI:2150380	ZFIN:ZDB-GENE-050417-199
MGI:98400	ZFIN:ZDB-GENE-060929-938
MGI:106498	ZFIN:ZDB-GENE-060616-210
MGI:1926232	ZFIN:ZDB-GENE-040426-1798
MGI:104896	ZFIN:ZDB-GENE-040426-2397
MGI:98285	ZFIN:ZDB-GENE-071005-2
MGI:98287	ZFIN:ZDB-GENE-040718-354
MGI:1915246	ZFIN:ZDB-GENE-041219-1
MGI:1890577	ZFIN:ZDB-GENE-030131-591
MGI:109263	ZFIN:ZDB-GENE-030131-6039
MGI:1855672	ZFIN:ZDB-GENE-050913-80
MGI:1917931	ZFIN:ZDB-GENE-041010-70
MGI:1914869	ZFIN:ZDB-GENE-030131-3112
MGI:1315204	ZFIN:ZDB-GENE-000511-8
MGI:1914714	ZFIN:ZDB-GENE-040718-116
MGI:1321386	ZFIN:ZDB-GENE-030131-6186
MGI:102805	ZFIN:ZDB-GENE-040801-58
MGI:1919340	ZFIN:ZDB-GENE-040724-142
MGI:1096863	ZFIN:ZDB-GENE-040724-187
MGI:1202295	ZFIN:ZDB-GENE-050417-412
MGI:98038	ZFIN:ZDB-GENE-060331-105
MGI:1913741	ZFIN:ZDB-GENE-050522-181
MGI:2153466	ZFIN:ZDB-GENE-050913-99
MGI:106032	ZFIN:ZDB-GENE-041212-61
MGI:2679630	ZFIN:ZDB-GENE-040426-1455
MGI:104672	ZFIN:ZDB-GENE-050417-394
MGI:104671	ZFIN:ZDB-GENE-011212-6
MGI:1858233	ZFIN:ZDB-GENE-060929-1234
MGI:1913691	ZFIN:ZDB-GENE-041216-1
MGI:1920076	ZFIN:ZDB-GENE-030131-6955
MGI:1918849	ZFIN:ZDB-GENE-060929-1186
MGI:1336194	ZFIN:ZDB-GENE-030131-6654
MGI:104889	ZFIN:ZDB-GENE-060503-870
MGI:2444691	ZFIN:ZDB-GENE-040704-58
MGI:98509	ZFIN:ZDB-GENE-030131-2523
MGI:2182543	ZFIN:ZDB-GENE-060503-719
MGI:2655333	ZFIN:ZDB-GENE-030131-9854
MGI:2182540	ZFIN:ZDB-GENE-030131-3665
MGI:1926788	ZFIN:ZDB-GENE-040912-128
MGI:1927655	ZFIN:ZDB-GENE-030826-27
MGI:1926274	ZFIN:ZDB-GENE-040801-55
MGI:2146407	ZFIN:ZDB-GENE-060503-348
MGI:1918367	ZFIN:ZDB-GENE-040426-886
MGI:1932288	ZFIN:ZDB-GENE-040426-2541
MGI:1932287	ZFIN:ZDB-GENE-060503-757
MGI:1932286	ZFIN:ZDB-GENE-110408-34
MGI:1923786	ZFIN:ZDB-GENE-040704-50
MGI:3045307	ZFIN:ZDB-GENE-050208-292
MGI:1859270	ZFIN:ZDB-GENE-040426-2752
MGI:1915091	ZFIN:ZDB-GENE-030131-8576
MGI:3045346	ZFIN:ZDB-GENE-040724-203
MGI:2384580	ZFIN:ZDB-GENE-040426-2775
MGI:1921407	ZFIN:ZDB-GENE-040426-696
MGI:1919325	ZFIN:ZDB-GENE-030131-377
MGI:1917405	ZFIN:ZDB-GENE-061207-32
MGI:1923389	ZFIN:ZDB-GENE-030131-5517
MGI:1913359	ZFIN:ZDB-GENE-041010-45
MGI:1914375	ZFIN:ZDB-GENE-040426-1123
MGI:1917673	ZFIN:ZDB-GENE-050417-295
MGI:1919012	ZFIN:ZDB-GENE-040718-361
MGI:1926264	ZFIN:ZDB-GENE-030131-5435
MGI:1298407	ZFIN:ZDB-GENE-040927-5
MGI:97998	ZFIN:ZDB-GENE-040426-1073
MGI:102791	ZFIN:ZDB-GENE-000616-9
MGI:1096398	ZFIN:ZDB-GENE-000831-5
MGI:1917997	ZFIN:ZDB-GENE-050522-511
MGI:88348	ZFIN:ZDB-GENE-040426-2768
MGI:88330	ZFIN:ZDB-GENE-070820-17
MGI:1924558	ZFIN:ZDB-GENE-060503-632
MGI:88341	ZFIN:ZDB-GENE-040426-1349
MGI:104651	ZFIN:ZDB-GENE-030131-2857
MGI:1928097	ZFIN:ZDB-GENE-040718-38
MGI:98911	ZFIN:ZDB-GENE-060421-2603
MGI:1917186	ZFIN:ZDB-GENE-040718-137
MGI:1915748	ZFIN:ZDB-GENE-041210-93
MGI:1928098	ZFIN:ZDB-GENE-030131-7787
MGI:1889818	ZFIN:ZDB-GENE-040426-1285
MGI:1096360	ZFIN:ZDB-GENE-040426-1868
MGI:1196325	ZFIN:ZDB-GENE-060825-329
MGI:1928096	ZFIN:ZDB-GENE-041010-145
MGI:99529	ZFIN:ZDB-GENE-030131-180
MGI:1914707	ZFIN:ZDB-GENE-090812-5
MGI:1930618	ZFIN:ZDB-GENE-030131-555
MGI:2159727	ZFIN:ZDB-GENE-020320-5
MGI:1914248	ZFIN:ZDB-GENE-050417-28
MGI:2446584	ZFIN:ZDB-GENE-091204-239
MGI:1346877	ZFIN:ZDB-GENE-041001-135
MGI:2443480	ZFIN:ZDB-GENE-070402-1
MGI:1925705	ZFIN:ZDB-GENE-040426-2419
MGI:1276102	ZFIN:ZDB-GENE-040426-1189
MGI:1922263	ZFIN:ZDB-GENE-090313-71
MGI:107995	ZFIN:ZDB-GENE-040426-2836
MGI:1891384	ZFIN:ZDB-GENE-061013-333
MGI:97054	ZFIN:ZDB-GENE-091230-8
MGI:2384309	ZFIN:ZDB-GENE-050417-66
MGI:1926154	ZFIN:ZDB-GENE-070410-73
MGI:107428	ZFIN:ZDB-GENE-040426-1784
MGI:1926097	ZFIN:ZDB-GENE-110411-62
MGI:1917579	ZFIN:ZDB-GENE-070117-2447
